CUSTOMER_ID,CUSTOMER_NAME,COUNTRY_CODE,PROVINCE,REGION,CUSTOMER_SEGMENT_ID,VALID_TO,VALID_FROM,LANGU
10000000000000000001,Bryan Davis,KUW,IRQ City,IRQ City,400002,9999-12-31,1000-01-01,E
10000000000000000002,Joy Bell,LIB,Monrovia,Monrovia,400003,9999-12-31,1000-01-01,E
10000000000000000003,Alan Barnes,LBY,Tripoli,Tripoli,400002,9999-12-31,1000-01-01,E
10000000000000000004,Delfina Latchford,MAD,Antananarivo,Antananarivo,400004,9999-12-31,1000-01-01,E
10000000000000000005,Don Jones,SIN,Singapore,Singapore,400002,9999-12-31,1000-01-01,E
10000000000000000006,Jamie Kunitz,MAU,Port Louis,Port Louis,400002,9999-12-31,1000-01-01,E
10000000000000000007,Ralph Knight,MON,Ulaanbaatar,Ulaanbaatar,400001,9999-12-31,1000-01-01,E
10000000000000000008,Allen Rosenblatt,MYA,Burma,Burma,400004,9999-12-31,1000-01-01,E
10000000000000000009,Carl Jackson,NEP,Kathmandu,Kathmandu,400003,9999-12-31,1000-01-01,E
10000000000000000010,Hunter Glantz,NOR,Oslo,Oslo,400002,9999-12-31,1000-01-01,E
10000000000000000011,Jim Radford,PAK,Lahore,Lahore,400002,9999-12-31,1000-01-01,E
10000000000000000012,Thomas Seio,CZE,Prague,Prague,400003,9999-12-31,1000-01-01,E
10000000000000000013,Frank Price,CZE,Prague,Prague,400002,9999-12-31,1000-01-01,E
10000000000000000014,Don Miller,SRI,Colombo,Colombo,400003,9999-12-31,1000-01-01,E
10000000000000000015,Dorothy Wardle,SWE,Stockholm,Stockholm,400002,9999-12-31,1000-01-01,E
10000000000000000016,Ann Chong,SWE,Stockholm,Stockholm,400002,9999-12-31,1000-01-01,E
10000000000000000017,Clay Rozendal,SWI,Bern,Bern,400002,9999-12-31,1000-01-01,E
10000000000000000018,Heather Kirkland,UAE,Abu Dhabi,Abu Dhabi,400003,9999-12-31,1000-01-01,E
10000000000000000019,Claudia Miner,USA,Michigan,Detroit,400004,9999-12-31,1000-01-01,E
10000000000000000020,Carl Ludwig,ZIM,Harare,Harare,400002,9999-12-31,1000-01-01,E
10000000000000000021,Charles McCrossin,ARG,Cordoba,Cordoba,400002,9999-12-31,1000-01-01,E
10000000000000000022,Annie Cyprus,AUS,Melbourne,Melbourne,400003,9999-12-31,1000-01-01,E
10000000000000000023,Charlotte Melton,BAN,Dhaka,Dhaka,400003,9999-12-31,1000-01-01,E
10000000000000000024,Barry French,BEL,Brussels,Brussels,400001,9999-12-31,1000-01-01,E
10000000000000000025,Toby Braunhardt,COL,Bogota,Bogota,400002,9999-12-31,1000-01-01,E
10000000000000000026,Neola Schneider,EGY,Sohag,Sohag,400003,9999-12-31,1000-01-01,E
10000000000000000027,Dan Reichenbach,NAM,Windhoek,Windhoek,400002,9999-12-31,1000-01-01,E
10000000000000000028,Paul Gonzalez,NEP,Kathmandu,Kathmandu,400002,9999-12-31,1000-01-01,E
10000000000000000029,Julie Creighton,UAE,Abu Dhabi,Abu Dhabi,400002,9999-12-31,1000-01-01,E
10000000000000000030,Sanjit Chand,VEN,Caracas,Caracas,400003,9999-12-31,1000-01-01,E
10000000000000000031,Matt Collins,VIE,Dalat,Dalat,400001,9999-12-31,1000-01-01,E
10000000000000000032,Justin Knight,ZIM,Harare,Harare,400002,9999-12-31,1000-01-01,E
10000000000000000033,Marina Lichtenstein,BHU,Thimphu,Thimphu,400002,9999-12-31,1000-01-01,E
10000000000000000034,Michelle Arnett,BRA,Brasilia,Brasilia,400003,9999-12-31,1000-01-01,E
10000000000000000035,Seth Vernon,BRA,Brasilia,Brasilia,400003,9999-12-31,1000-01-01,E
10000000000000000036,Luke Weiss,CAN,British Columbia,British Columbia,400002,9999-12-31,1000-01-01,E
10000000000000000037,Anna Andreadi,GEO,Tbilisi,Tbilisi,400004,9999-12-31,1000-01-01,E
10000000000000000038,Barbara Fisher,GER,Frankfurt,Frankfurt,400004,9999-12-31,1000-01-01,E
10000000000000000039,Angele Hood,HUN,Budapest,Budapest,400001,9999-12-31,1000-01-01,E
10000000000000000040,Stewart Carmichael,IND,Mumbai,Maharashtra,400002,9999-12-31,1000-01-01,E
10000000000000000041,Lela Donovan,KUW,IRQ City,IRQ City,400002,9999-12-31,1000-01-01,E
10000000000000000042,Rob Dowd,MAU,Port Louis,Port Louis,400002,9999-12-31,1000-01-01,E
10000000000000000043,Shahid Hopkins,MON,Ulaanbaatar,Ulaanbaatar,400004,9999-12-31,1000-01-01,E
10000000000000000044,Dorothy Dickinson,MLD,Mundoo,Mundoo,400002,9999-12-31,1000-01-01,E
10000000000000000045,Janet Molinari,MEX,Mexico City,Mexico City,400002,9999-12-31,1000-01-01,E
10000000000000000046,Julie Prescott,MON,Ulaanbaatar,Ulaanbaatar,400003,9999-12-31,1000-01-01,E
10000000000000000047,Christine Kargatis,PER,Lima District,Lima District,400004,9999-12-31,1000-01-01,E
10000000000000000048,Duane Benoit,RUS,Novosibirsk,Novosibirsk,400003,9999-12-31,1000-01-01,E
10000000000000000049,Sean O'Donnell,SWE,Stockholm,Stockholm,400002,9999-12-31,1000-01-01,E
10000000000000000050,Sandra Glassco,SYR,Damascus,Damascus,400003,9999-12-31,1000-01-01,E
10000000000000000051,Jennifer Halladay,UK,London,London,400003,9999-12-31,1000-01-01,E
10000000000000000052,Ritsa Hightower,USA,Michigan,Detroit,400002,9999-12-31,1000-01-01,E
10000000000000000053,Pete Armstrong,VEN,Caracas,Caracas,400001,9999-12-31,1000-01-01,E
10000000000000000054,Anna Gayman,ZIM,Harare,Harare,400002,9999-12-31,1000-01-01,E
10000000000000000055,Nat Gilpin,ALG,Algiers,Algiers,400001,9999-12-31,1000-01-01,E
